group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lexer-es5,,,,,1067000.0,ns,3
lexer-es5,,,,,1983600.0,ns,6
lexer-es5,,,,,3239900.0,ns,9
lexer-es5,,,,,5891700.0,ns,12
lexer-es5,,,,,5472900.0,ns,15
lexer-es5,,,,,6046500.0,ns,18
lexer-es5,,,,,8419200.0,ns,21
lexer-es5,,,,,8031400.0,ns,24
lexer-es5,,,,,8815500.0,ns,27
lexer-es5,,,,,9819200.0,ns,30
lexer-es5,,,,,10861000.0,ns,33
lexer-es5,,,,,11828100.0,ns,36
lexer-es5,,,,,12795100.0,ns,39
lexer-es5,,,,,13766100.0,ns,42
lexer-es5,,,,,15004500.0,ns,45
lexer-es5,,,,,16477000.0,ns,48
lexer-es5,,,,,17175000.0,ns,51
lexer-es5,,,,,17777800.0,ns,54
lexer-es5,,,,,20734600.0,ns,57
lexer-es5,,,,,22898200.0,ns,60
lexer-es5,,,,,21176300.0,ns,63
lexer-es5,,,,,21680700.0,ns,66
lexer-es5,,,,,28819000.0,ns,69
lexer-es5,,,,,28853000.0,ns,72
lexer-es5,,,,,31829500.0,ns,75
lexer-es5,,,,,39291800.0,ns,78
lexer-es5,,,,,38102600.0,ns,81
lexer-es5,,,,,39669800.0,ns,84
lexer-es5,,,,,37039500.0,ns,87
lexer-es5,,,,,34470800.0,ns,90
lexer-es5,,,,,40202700.0,ns,93
lexer-es5,,,,,43295600.0,ns,96
lexer-es5,,,,,40582900.0,ns,99
lexer-es5,,,,,34911700.0,ns,102
lexer-es5,,,,,38522500.0,ns,105
lexer-es5,,,,,40545100.0,ns,108
lexer-es5,,,,,37057500.0,ns,111
lexer-es5,,,,,38739500.0,ns,114
lexer-es5,,,,,40622700.0,ns,117
lexer-es5,,,,,39858600.0,ns,120
lexer-es5,,,,,40479700.0,ns,123
lexer-es5,,,,,47056600.0,ns,126
lexer-es5,,,,,46686800.0,ns,129
lexer-es5,,,,,46165200.0,ns,132
lexer-es5,,,,,49606600.0,ns,135
lexer-es5,,,,,60836600.0,ns,138
lexer-es5,,,,,49595100.0,ns,141
lexer-es5,,,,,48417900.0,ns,144
lexer-es5,,,,,49393900.0,ns,147
lexer-es5,,,,,50622600.0,ns,150
lexer-es5,,,,,50242400.0,ns,153
lexer-es5,,,,,54447500.0,ns,156
lexer-es5,,,,,57416500.0,ns,159
lexer-es5,,,,,57425400.0,ns,162
lexer-es5,,,,,57097800.0,ns,165
lexer-es5,,,,,58612800.0,ns,168
lexer-es5,,,,,58459500.0,ns,171
lexer-es5,,,,,63187600.0,ns,174
lexer-es5,,,,,59311400.0,ns,177
lexer-es5,,,,,61649400.0,ns,180
lexer-es5,,,,,66167200.0,ns,183
lexer-es5,,,,,61699300.0,ns,186
lexer-es5,,,,,62942600.0,ns,189
lexer-es5,,,,,70329200.0,ns,192
lexer-es5,,,,,76976200.0,ns,195
lexer-es5,,,,,77398400.0,ns,198
lexer-es5,,,,,66835100.0,ns,201
lexer-es5,,,,,70413800.0,ns,204
lexer-es5,,,,,73922600.0,ns,207
lexer-es5,,,,,74860400.0,ns,210
lexer-es5,,,,,74623500.0,ns,213
lexer-es5,,,,,77716100.0,ns,216
lexer-es5,,,,,77737500.0,ns,219
lexer-es5,,,,,78257100.0,ns,222
lexer-es5,,,,,94781500.0,ns,225
lexer-es5,,,,,100523900.0,ns,228
lexer-es5,,,,,91293500.0,ns,231
lexer-es5,,,,,102515400.0,ns,234
lexer-es5,,,,,93674100.0,ns,237
lexer-es5,,,,,101819700.0,ns,240
lexer-es5,,,,,96759700.0,ns,243
lexer-es5,,,,,101823400.0,ns,246
lexer-es5,,,,,95906100.0,ns,249
lexer-es5,,,,,84501400.0,ns,252
lexer-es5,,,,,90775900.0,ns,255
lexer-es5,,,,,87135900.0,ns,258
lexer-es5,,,,,86901100.0,ns,261
lexer-es5,,,,,89623400.0,ns,264
lexer-es5,,,,,90939000.0,ns,267
lexer-es5,,,,,102120400.0,ns,270
lexer-es5,,,,,100118700.0,ns,273
lexer-es5,,,,,92215700.0,ns,276
lexer-es5,,,,,92423200.0,ns,279
lexer-es5,,,,,96598100.0,ns,282
lexer-es5,,,,,95352000.0,ns,285
lexer-es5,,,,,97253100.0,ns,288
lexer-es5,,,,,98932800.0,ns,291
lexer-es5,,,,,98898200.0,ns,294
lexer-es5,,,,,98032900.0,ns,297
lexer-es5,,,,,101927700.0,ns,300
